-30.835, -16.181, 87.773
-29.047, -17.076, 84.83
-27.244, -17.941, 81.781
-25.382, -18.668, 78.616
-23.424, -19.041, 75.328
-21.51, -18.568, 71.928
-20.149, -17.134, 87.782
-19.33, -15.317, 94.331
-18.814, -13.386, 96.1
-18.172, -11.503, 97.775
-17.368, -9.672, 97.775
-16.51, -7.865, 97.775
-15.576, -6.097, 97.775
-14.573, -4.367, 97.577
-13.487, -2.688, 97.038
-12.303, -1.077, 96.381
-11.006, 0.444, 95.593
-9.562, 1.826, 93.648
-7.964, 3.025, 92.568
-6.206, 3.969, 90.648
-4.304, 4.575, 89.82
-2.315, 4.751, 89.968
-0.335, 4.496, 91.137
1.56, 3.865, 92.788
3.331, 2.941, 94.237
4.97, 1.798, 91.504
6.485, 0.494, 88.686
7.885, -0.933, 85.775
9.18, -2.457, 82.762
10.373, -4.062, 79.635
11.465, -5.737, 76.379
12.445, -7.48, 72.979
13.221, -9.32, 69.416
13.009, -11.279, 92.757
12.249, -13.127, 95.239
11.288, -14.88, 96.474
10.19, -16.551, 96.65
8.972, -18.136, 96.545
7.639, -19.627, 96.216
6.192, -21.006, 95.671
4.628, -22.251, 94.912
2.944, -23.328, 93.968
1.142, -24.193, 93.459
-0.765, -24.788, 92.504
-2.742, -25.069, 91.922
-4.738, -25.005, 92.041
-6.692, -24.601, 92.919
-8.562, -23.897, 93.558
-10.304, -22.919, 94.968
-11.929, -21.756, 95.647
-13.435, -20.44, 96.826
-14.82, -18.999, 97.309
-16.109, -17.47, 97.722
-17.319, -15.878, 97.775
-16.96, -14.012, 97.775
-16.333, -12.113, 97.775
-15.662, -10.229, 97.775
-14.928, -8.369, 97.775
-14.141, -6.531, 97.775
-13.287, -4.723, 97.543
-12.351, -2.956, 96.911
-11.313, -1.248, 96.112
-10.152, 0.38, 95.121
-8.848, 1.894, 93.871
-7.355, 3.219, 91.13
-5.666, 4.283, 88.692
-3.781, 4.94, 86.228
-1.792, 5.094, 83.238
0.176, 4.766, 80.136
2.046, 4.064, 76.906
3.796, 3.1, 73.532
5.441, 1.964, 69.994
7.007, 0.72, 66.266
8.53, -0.576, 62.316
10.09, -1.827, 58.099
11.766, -1.95, 54.3
12.186, 0.003, 57.208
12.897, 1.86, 52.606
14.633, 2.728, 76.077
16.282, 3.806, 84.237
17.347, 3.318, 90.803
17.393, 1.319, 97.762
17.308, -0.679, 95.129
17.178, -2.674, 92.42
17.028, -4.669, 89.63
16.87, -6.663, 86.75
16.713, -8.656, 83.77
16.561, -10.651, 80.681
16.42, -12.646, 77.469
16.293, -14.642, 74.118
16.186, -16.639, 70.608
16.103, -18.637, 66.914
16.05, -20.636, 63.004
16.809, -22.47, 58.868
17.713, -24.253, 54.383
18.741, -25.968, 49.495
19.975, -27.539, 44.073
21.648, -28.569, 37.989
23.336, -27.72, 78.084
24.203, -25.927, 91.442
24.679, -23.987, 92.851
24.933, -22.004, 90.075
24.995, -20.006, 87.211
24.774, -18.022, 84.255
24.556, -16.039, 93.156
24.664, -14.043, 97.049
24.915, -12.059, 97.775
25.235, -10.085, 96.282
25.59, -8.116, 93.607
25.957, -6.151, 90.853
26.325, -4.185, 88.012
26.684, -2.217, 85.078
27.029, -0.247, 82.038
27.355, 1.726, 78.881
27.659, 3.703, 75.592
27.938, 5.683, 72.154
29.164, 7.245, 68.569
30.607, 8.625, 64.767
32.047, 8.194, 68.121
32.069, 6.199, 87.888
31.863, 4.21, 84.949
31.611, 2.226, 81.905
31.388, 0.238, 78.742
31.27, -1.757, 75.449
31.45, -3.743, 72.014
32.254, -5.396, 97.775
32.006, -7.381, 97.775
31.837, -9.373, 97.775
31.752, -11.371, 97.713
31.76, -13.37, 97.494
31.868, -15.367, 97.256
32.108, -17.352, 96.718
32.473, -19.318, 96.416
32.992, -21.249, 95.742
33.672, -23.128, 94.966
34.541, -24.929, 94.358
35.62, -26.611, 91.628
36.927, -28.122, 88.816
38.464, -29.397, 85.913
40.231, -30.322, 82.912
42.176, -30.751, 79.803
44.136, -30.442, 76.58
45.714, -29.256, 75.846
46.505, -27.441, 84.121
46.69, -25.451, 97.775
46.822, -23.456, 97.775
46.949, -21.46, 97.775
47.072, -19.464, 97.775
47.192, -17.467, 97.775
47.309, -15.471, 97.775
47.424, -13.474, 97.775
47.539, -11.477, 97.775
47.653, -9.481, 97.775
47.767, -7.484, 97.775
47.881, -5.487, 97.775
47.995, -3.49, 97.775
48.111, -1.494, 97.775
48.227, 0.503, 97.775
48.343, 2.5, 97.775
48.461, 4.496, 97.468
48.579, 6.493, 94.826
48.71, 8.488, 92.109
48.891, 10.48, 89.309
49.23, 10.021, 97.284
49.311, 8.022, 97.775
49.352, 6.023, 97.775
49.377, 4.023, 97.775
49.389, 2.023, 97.775
49.394, 0.023, 97.775
49.392, -1.977, 97.775
49.385, -3.977, 97.775
49.373, -5.977, 97.775
49.358, -7.977, 97.775
49.338, -9.977, 97.775
49.315, -11.977, 97.775
49.289, -13.976, 97.775
49.26, -15.976, 97.775
49.227, -17.976, 97.775
49.192, -19.976, 97.775
49.154, -21.975, 97.775
49.113, -23.975, 97.775
49.069, -25.974, 97.775
49.022, -27.974, 97.775
48.972, -29.973, 97.775
48.919, -31.973, 97.775
48.863, -33.972, 97.775
48.804, -35.971, 97.775
48.744, -37.97, 97.775
48.685, -39.969, 97.775
48.563, -41.965, 97.775
48.403, -43.959, 97.775
48.192, -45.947, 95.563
47.911, -47.927, 92.868
47.529, -49.891, 90.091
47.032, -51.827, 87.226
46.349, -53.706, 84.266
45.425, -55.476, 81.201
44.095, -56.954, 78.029
42.275, -57.705, 75.837
40.319, -57.407, 80.514
38.581, -56.434, 77.307
37.076, -55.12, 73.953
35.75, -53.625, 70.438
34.56, -52.018, 66.736
33.501, -50.322, 62.815
32.549, -48.564, 58.634
31.711, -46.748, 54.13
30.999, -44.88, 49.216
30.429, -42.964, 43.754
30.064, -40.999, 37.506
30.051, -39.004, 30.001
30.751, -37.164, 20
31.323, -36.68, 0
31.323, -36.68, 0
46.585, -23.754, 0
endData
127
100
200
-52.996, 34.148, -52.996, 58.575, -27.204, 19.443, -27.204, 43.87
-27.204, 43.87, -27.006, 51.631, -31.172, 9.646, -29.784, -24.776
-29.784, -24.776, -28.196, -75.864, -69.662, -34.101, -53.988, -25.173
